timestamp,lidar_mm,theta,packet_count,late_wakeup_count,skipped_cycle_count
21:50:35.681348.0,278,-2.9176993370056152,19,1,154
21:50:35.681348.1,285,-2.9176993370056152,19,1,154
21:50:35.681348.2,65535,-2.9176993370056152,19,1,154
21:50:35.681348.3,278,-2.9176993370056152,19,1,154
21:50:35.681348.4,282,-2.9176993370056152,19,1,154
21:50:35.681348.5,283,-2.9176993370056152,19,1,154
21:50:35.681348.6,301,-2.9176993370056152,19,1,154
21:50:35.681348.7,275,-2.9176993370056152,19,1,154
21:50:35.681348.8,279,-2.9176993370056152,19,1,154
21:50:35.681348.9,273,-2.9176993370056152,19,1,154
21:50:35.681348.10,270,-2.9176993370056152,19,1,154
21:50:35.681348.11,279,-2.9176993370056152,19,1,154
21:50:35.681348.12,250,-2.9176993370056152,19,1,154
21:50:35.681348.13,285,-2.9176993370056152,19,1,154
21:50:35.681348.14,278,-2.9176993370056152,19,1,154
21:50:35.681348.15,284,-2.9176993370056152,19,1,154
21:50:35.729774.0,273,-2.918311834335327,20,1,154
21:50:35.729774.1,261,-2.918311834335327,20,1,154
21:50:35.729774.2,284,-2.918311834335327,20,1,154
21:50:35.729774.3,281,-2.918311834335327,20,1,154
21:50:35.729774.4,284,-2.918311834335327,20,1,154
21:50:35.729774.5,269,-2.918311834335327,20,1,154
21:50:35.729774.6,265,-2.918311834335327,20,1,154
21:50:35.729774.7,279,-2.918311834335327,20,1,154
21:50:35.729774.8,281,-2.918311834335327,20,1,154
21:50:35.729774.9,65535,-2.918311834335327,20,1,154
21:50:35.729774.10,287,-2.918311834335327,20,1,154
21:50:35.729774.11,286,-2.918311834335327,20,1,154
21:50:35.729774.12,271,-2.918311834335327,20,1,154
21:50:35.729774.13,278,-2.918311834335327,20,1,154
21:50:35.729774.14,278,-2.918311834335327,20,1,154
21:50:35.729774.15,279,-2.918311834335327,20,1,154
21:50:35.781177.0,270,-2.918949604034424,21,1,154
21:50:35.781177.1,279,-2.918949604034424,21,1,154
21:50:35.781177.2,276,-2.918949604034424,21,1,154
21:50:35.781177.3,265,-2.918949604034424,21,1,154
21:50:35.781177.4,245,-2.918949604034424,21,1,154
21:50:35.781177.5,271,-2.918949604034424,21,1,154
21:50:35.781177.6,276,-2.918949604034424,21,1,154
21:50:35.781177.7,295,-2.918949604034424,21,1,154
21:50:35.781177.8,259,-2.918949604034424,21,1,154
21:50:35.781177.9,293,-2.918949604034424,21,1,154
21:50:35.781177.10,276,-2.918949604034424,21,1,154
21:50:35.781177.11,266,-2.918949604034424,21,1,154
21:50:35.781177.12,269,-2.918949604034424,21,1,154
21:50:35.781177.13,263,-2.918949604034424,21,1,154
21:50:35.781177.14,279,-2.918949604034424,21,1,154
21:50:35.781177.15,271,-2.918949604034424,21,1,154
21:50:35.829529.0,65535,-2.919801950454712,22,1,154
21:50:35.829529.1,295,-2.919801950454712,22,1,154
21:50:35.829529.2,287,-2.919801950454712,22,1,154
21:50:35.829529.3,274,-2.919801950454712,22,1,154
21:50:35.829529.4,282,-2.919801950454712,22,1,154
21:50:35.829529.5,296,-2.919801950454712,22,1,154
21:50:35.829529.6,265,-2.919801950454712,22,1,154
21:50:35.829529.7,285,-2.919801950454712,22,1,154
21:50:35.829529.8,268,-2.919801950454712,22,1,154
21:50:35.829529.9,297,-2.919801950454712,22,1,154
21:50:35.829529.10,65535,-2.919801950454712,22,1,154
21:50:35.829529.11,284,-2.919801950454712,22,1,154
21:50:35.829529.12,274,-2.919801950454712,22,1,154
21:50:35.829529.13,290,-2.919801950454712,22,1,154
21:50:35.829529.14,266,-2.919801950454712,22,1,154
21:50:35.829529.15,296,-2.919801950454712,22,1,154
21:50:35.879946.0,275,-2.9207913875579834,23,1,154
21:50:35.879946.1,261,-2.9207913875579834,23,1,154
21:50:35.879946.2,293,-2.9207913875579834,23,1,154
21:50:35.879946.3,282,-2.9207913875579834,23,1,154
21:50:35.879946.4,287,-2.9207913875579834,23,1,154
21:50:35.879946.5,266,-2.9207913875579834,23,1,154
21:50:35.879946.6,281,-2.9207913875579834,23,1,154
21:50:35.879946.7,288,-2.9207913875579834,23,1,154
21:50:35.879946.8,278,-2.9207913875579834,23,1,154
21:50:35.879946.9,264,-2.9207913875579834,23,1,154
21:50:35.879946.10,287,-2.9207913875579834,23,1,154
21:50:35.879946.11,279,-2.9207913875579834,23,1,154
21:50:35.879946.12,271,-2.9207913875579834,23,1,154
21:50:35.879946.13,268,-2.9207913875579834,23,1,154
21:50:35.879946.14,283,-2.9207913875579834,23,1,154
21:50:35.879946.15,275,-2.9207913875579834,23,1,154
21:50:35.928950.0,265,-2.921506643295288,24,1,154
21:50:35.928950.1,263,-2.921506643295288,24,1,154
21:50:35.928950.2,282,-2.921506643295288,24,1,154
21:50:35.928950.3,269,-2.921506643295288,24,1,154
21:50:35.928950.4,265,-2.921506643295288,24,1,154
21:50:35.928950.5,271,-2.921506643295288,24,1,154
21:50:35.928950.6,289,-2.921506643295288,24,1,154
21:50:35.928950.7,268,-2.921506643295288,24,1,154
21:50:35.928950.8,294,-2.921506643295288,24,1,154
21:50:35.928950.9,281,-2.921506643295288,24,1,154
21:50:35.928950.10,281,-2.921506643295288,24,1,154
21:50:35.928950.11,275,-2.921506643295288,24,1,154
21:50:35.928950.12,294,-2.921506643295288,24,1,154
21:50:35.928950.13,273,-2.921506643295288,24,1,154
21:50:35.928950.14,283,-2.921506643295288,24,1,154
21:50:35.928950.15,284,-2.921506643295288,24,1,154
21:50:35.980238.0,298,-2.921858310699463,25,1,154
21:50:35.980238.1,270,-2.921858310699463,25,1,154
21:50:35.980238.2,274,-2.921858310699463,25,1,154
21:50:35.980238.3,278,-2.921858310699463,25,1,154
21:50:35.980238.4,282,-2.921858310699463,25,1,154
21:50:35.980238.5,65535,-2.921858310699463,25,1,154
21:50:35.980238.6,275,-2.921858310699463,25,1,154
21:50:35.980238.7,275,-2.921858310699463,25,1,154
21:50:35.980238.8,282,-2.921858310699463,25,1,154
21:50:35.980238.9,282,-2.921858310699463,25,1,154
21:50:35.980238.10,273,-2.921858310699463,25,1,154
21:50:35.980238.11,276,-2.921858310699463,25,1,154
21:50:35.980238.12,65535,-2.921858310699463,25,1,154
21:50:35.980238.13,276,-2.921858310699463,25,1,154
21:50:35.980238.14,285,-2.921858310699463,25,1,154
21:50:35.980238.15,269,-2.921858310699463,25,1,154
21:50:36.030280.0,275,-2.9225735664367676,26,1,154
21:50:36.030280.1,256,-2.9225735664367676,26,1,154
21:50:36.030280.2,265,-2.9225735664367676,26,1,154
21:50:36.030280.3,65535,-2.9225735664367676,26,1,154
21:50:36.030280.4,260,-2.9225735664367676,26,1,154
21:50:36.030280.5,65535,-2.9225735664367676,26,1,154
21:50:36.030280.6,273,-2.9225735664367676,26,1,154
21:50:36.030280.7,302,-2.9225735664367676,26,1,154
21:50:36.030280.8,285,-2.9225735664367676,26,1,154
21:50:36.030280.9,65535,-2.9225735664367676,26,1,154
21:50:36.030280.10,293,-2.9225735664367676,26,1,154
21:50:36.030280.11,297,-2.9225735664367676,26,1,154
21:50:36.030280.12,288,-2.9225735664367676,26,1,154
21:50:36.030280.13,289,-2.9225735664367676,26,1,154
21:50:36.030280.14,276,-2.9225735664367676,26,1,154
21:50:36.030280.15,278,-2.9225735664367676,26,1,154
21:50:36.080171.0,65535,-2.92331862449646,27,1,154
21:50:36.080171.1,264,-2.92331862449646,27,1,154
21:50:36.080171.2,274,-2.92331862449646,27,1,154
21:50:36.080171.3,278,-2.92331862449646,27,1,154
21:50:36.080171.4,254,-2.92331862449646,27,1,154
21:50:36.080171.5,281,-2.92331862449646,27,1,154
21:50:36.080171.6,282,-2.92331862449646,27,1,154
21:50:36.080171.7,65535,-2.92331862449646,27,1,154
21:50:36.080171.8,290,-2.92331862449646,27,1,154
21:50:36.080171.9,287,-2.92331862449646,27,1,154
21:50:36.080171.10,256,-2.92331862449646,27,1,154
21:50:36.080171.11,278,-2.92331862449646,27,1,154
21:50:36.080171.12,278,-2.92331862449646,27,1,154
21:50:36.080171.13,286,-2.92331862449646,27,1,154
21:50:36.080171.14,65535,-2.92331862449646,27,1,154
21:50:36.080171.15,293,-2.92331862449646,27,1,154
21:50:36.130100.0,285,-2.924384593963623,28,1,154
21:50:36.130100.1,284,-2.924384593963623,28,1,154
21:50:36.130100.2,269,-2.924384593963623,28,1,154
21:50:36.130100.3,275,-2.924384593963623,28,1,154
21:50:36.130100.4,284,-2.924384593963623,28,1,154
21:50:36.130100.5,65535,-2.924384593963623,28,1,154
21:50:36.130100.6,274,-2.924384593963623,28,1,154
21:50:36.130100.7,287,-2.924384593963623,28,1,154
21:50:36.130100.8,292,-2.924384593963623,28,1,154
21:50:36.130100.9,275,-2.924384593963623,28,1,154
21:50:36.130100.10,281,-2.924384593963623,28,1,154
21:50:36.130100.11,275,-2.924384593963623,28,1,154
